"","HepG2_neg","HepG2_0_5mM-glycerol","HepG2_PTPMT1_0.5mM-glycerol","HepG2_PTPMT1_neg","HMC3_PTPMT1-2_glucose","HMC3_PTPMT1-1_glucose","HMC3_glucose","HMC3_neg"
"BMP_18:1_18:1_C0",41689948.4970379,38612961.800388,37144041.53409,47937933.6260178,4079843.85117399,6193053.70311787,2939125.5203508,8606866.02182134
"BMP_18:1_18:1_C1",0,0,0,1804066.49542019,0,0,0,0
"BMP_18:1_18:1_C2",3950753.27511542,0,0,0,0,0,0,0
"BMP_18:1_18:1_C3",0,7892027.46629653,8706138.50009457,0,0,224357.86831906,327730.64686973,0
"BMP_18:1_18:1_C4",0,99442.07299616,418519.50916168,0,0,804510.74510433,638375.39437599,182224.41493294
"BMP_18:1_18:1_C5",0,0,0,0,0,0,183904.25714236,0
"BMP_18:1_18:1_C6",0,3165148.24926304,1986220.38911179,0,0,350034.51128675,262292.6423595,0
"PC_34:1_C0",85890702767.1415,77097636702.994,73360110113.9172,94088370546.8678,73742324980.1907,63587206457.0822,56769193308.6777,124719173800.6
"PC_34:1_C1",1931051144.38965,1466395328.50806,1516805868.82506,2324239033.71903,1551385316.54912,1480660705.96283,1010483270.13033,2722679174.89727
"PC_34:1_C2",2882709041.69696,7923438375.57424,4762538924.41626,2726186578.64903,8235653471.69471,13938535056.6911,14533961430.4473,3660855011.43933
"PC_34:1_C3",-4e-08,21579041713.8415,16734502489.9735,-3e-08,4049020488.33876,5906426514.17867,5440916033.12407,-4e-08
"PC_34:1_C4",0,887893910.145524,523741555.638959,0,1852251665.28589,7970189044.51779,9217249087.42806,0
"PC_34:1_C5",0,2893389006.29281,1480509442.20016,0,1107646536.28716,2341244549.72813,2286444307.93291,0
"PC_34:1_C6",0,0,0,0,264297920.660854,3498254564.57937,4443167629.09393,0
