"","HepG2_neg","HepG2_0_5mM-glycerol","HepG2_PTPMT1_0.5mM-glycerol","HepG2_PTPMT1_neg","HMC3_PTPMT1-2_glucose","HMC3_PTPMT1-1_glucose","HMC3_glucose","HMC3_neg"
"BMP_18:1_18:1_C0",0.913437937592671,0.775834598549951,0.769746205901495,0.963731524847899,1,0.81789342490141,0.67543923716694,0.979266976913685
"BMP_18:1_18:1_C1",0,0,0,0.0362684751521012,0,0,0,0
"BMP_18:1_18:1_C2",0.0865620624073288,0,0,0,0,0,0,0
"BMP_18:1_18:1_C3",0,0.1585713106576,0.180419706680282,0,0,0.0296301040035666,0.0753156462985961,0
"BMP_18:1_18:1_C4",0,0.00199804928668216,0.00867309509056233,0,0,0.106248723202916,0.146704789032623,0.0207330230863154
"BMP_18:1_18:1_C5",0,0,0,0,0,0,0.0422629623321302,0
"BMP_18:1_18:1_C6",0,0.0635960415057671,0.0411609923276608,0,0,0.0462277478921068,0.0602773651697109,0
"PC_34:1_C0",0.946929180446514,0.689308507845364,0.745694715433212,0.949057020984438,0.81211706399083,0.644100337577174,0.60585203828764,0.951308906701053
"PC_34:1_C1",0.0212894832461045,0.0131106324270255,0.0154181082738908,0.0234442934931937,0.0170852558382558,0.0149982066155337,0.0107840769470726,0.0207675281212998
"PC_34:1_C2",0.0317813363073814,0.0708412568430865,0.0484105067790573,0.0274986855223686,0.0906984519307639,0.141189016400737,0.155109305660759,0.0279235651776475
"PC_34:1_C3",-4.40992633632879e-19,0.192932204936488,0.170103753290439,-3.02606054967767e-19,0.0445914694432501,0.0598285649523692,0.058066530043791,-3.05104300393136e-19
"PC_34:1_C4",0,0.00793841228473906,0.00532375578071343,0,0.0203986677201754,0.0807332439992107,0.0983683019178919,0
"PC_34:1_C5",0,0.0258689856632975,0.0150491604426884,0,0.012198403742095,0.023715405800197,0.0244013850410056,0
"PC_34:1_C6",0,0,0,0,0.00291068733462951,0.0354352246547781,0.0474183621018397,0
