"","HepG2_neg","HepG2_0_5mM-glycerol","HepG2_PTPMT1_0.5mM-glycerol","HepG2_PTPMT1_neg","HMC3_PTPMT1-2_glucose","HMC3_PTPMT1-1_glucose","HMC3_glucose","HMC3_neg"
"BMP_18:1_18:1_C0",-0.0012893,-0.00570868,-0.00372455,0.00271304,-0.0513966,-0.01418784,-0.01875193,-0.04745335
"BMP_18:1_18:1_C1",-Inf,-Inf,-Inf,-0.30778343,-Inf,-Inf,-Inf,-Inf
"BMP_18:1_18:1_C2",-0.03965571,Inf,Inf,-Inf,-Inf,-Inf,Inf,-Inf
"BMP_18:1_18:1_C3",-Inf,0.00085449,0.00109252,-Inf,Inf,0.01389779,-0.01307858,Inf
"BMP_18:1_18:1_C4",-Inf,-1.48365348,-0.17688988,Inf,Inf,-0.04023275,0.00013593,-0.12852614
"BMP_18:1_18:1_C5",Inf,Inf,Inf,-Inf,Inf,Inf,-7.95e-06,Inf
"BMP_18:1_18:1_C6",Inf,-0.00681463,-0.00544001,Inf,Inf,-0.01350496,8e-08,Inf
"PC_34:1_C0",-9.15e-05,2e-08,1e-08,-6.928e-05,0,0,0,-6.913e-05
"PC_34:1_C1",0.02671669,-1.061e-05,-4.2e-06,0.01840456,0,0,0,0.02080067
"PC_34:1_C2",-0.07975274,2.214e-05,1.509e-05,-0.06987103,0,0,0,-0.069022
"PC_34:1_C3",-12810448957187092,-7.517e-05,-3.97e-05,-14119861020004322,0,0,0,-14134655152634502
"PC_34:1_C4",Inf,0.01299339,0.00902181,Inf,0,0,0,Inf
"PC_34:1_C5",-Inf,-0.01940293,-0.01553067,-Inf,0,0,0,-Inf
"PC_34:1_C6",Inf,Inf,Inf,Inf,0,0,0,Inf
