"","HepG2_neg","HepG2_0_5mM-glycerol","HepG2_PTPMT1_0.5mM-glycerol","HepG2_PTPMT1_neg","HMC3_PTPMT1-2_glucose","HMC3_PTPMT1-1_glucose","HMC3_glucose","HMC3_neg"
"BMP_18:1_18:1_C0",-53750.67298673,-220429.10871588,-138344.90204179,130057.73639099,-209690.0920773,-87866.08600564,-55114.2658979,-408424.6181717
"BMP_18:1_18:1_C1",141739.22575446,308929.69390877,261143.23994064,-555261.77535294,412359.43093143,166954.29593444,90304.19899829,788210.52146626
"BMP_18:1_18:1_C2",-156669.91708919,796038.88731326,195295.95935436,1135718.67421627,216615.88747075,119337.05193761,140535.99009654,491703.48524318
"BMP_18:1_18:1_C3",351251.10579942,6743.66483733,9511.59488728,529560.23646743,37716.30305518,3118.07905112,-4286.2508869,60381.2057136
"BMP_18:1_18:1_C4",26561.69113917,-147537.57727371,-74031.86780778,61411.72078822,3977.310539,-32367.68061213,86.77648678,-23420.59985729
"BMP_18:1_18:1_C5",10582.5291911,364480.33006707,182586.60096548,5435.08778331,326.93307695,79881.08856878,-1.46242033,48879.46835214
"BMP_18:1_18:1_C6",3376.91838358,-21569.3178223,-10805.06860966,383.74274331,21.80545254,-4727.20076958,0.02205061,9661.08941527
"PC_34:1_C0",-7859053.22601318,1178.04472351,482.49075317,-6518726.49253845,2.289e-05,-7.63e-06,7.63e-06,-8622101.43431091
"PC_34:1_C1",51591301.4363403,-15559.94166946,-6372.8718605,42776605.6550064,1.144e-05,7.63e-06,7.63e-06,56633553.1382523
"PC_34:1_C2",-229903951.559922,175443.928545,71856.41821289,-190481475.269421,0,-5.72e-06,-3.81e-06,-252679535.629633
"PC_34:1_C3",512417958.287484,-1622118.49073029,-664369.66858673,423595830.60013,-9.5e-07,2.86e-06,-9.5e-07,565386206.10538
"PC_34:1_C4",87368215.2731881,11536749.2658386,4725096.42797375,76540767.3686973,9.5e-07,-9.5e-07,3.81e-06,85027508.6208961
"PC_34:1_C5",19322028.8036259,-56140216.6684413,-22993300.0304632,18727985.5438162,-2.4e-07,0,-9.5e-07,25117590.904451
"PC_34:1_C6",2896986.473976,140286729.856248,57457114.7262865,2843634.61258116,0,0,0,3781708.3598412
