LipidMolec,ClassKey,FAKey,CalcMass,BaseRt,TotalGrade,TotalSmpIDRate(%),MeanArea[s1],MeanArea[s2],MeanArea[s3],MeanArea[s4],MeanArea[s5],MeanArea[s6],MeanArea[s7],MeanArea[s8],MeanArea[s9],MeanArea[s10],MeanArea[s11],MeanArea[s12]
AcCa(10:0),AcCa,(10:0),315.241,3.9728,C,7.69,7090,10700,14500,10300,18400,22400,10900,18400,24181.81818,24110.90909,46377.63636,24137.27273
AcCa(10:0),AcCa,(10:0),315.241,4.1236,C,7.69,21400,23600,17400,25500,38500,36000,34300,31100,70000,69821.81818,101614,69955.45455
AcCa(10:0),AcCa,(10:0),315.241,4.2737,C,7.69,4730,12800,10700,13400,17800,17200,8790,13700,26727.27273,26549.09091,46904.90909,26682.72727
AcCa(14:0),AcCa,(14:0),371.3036,4.0721,A,23.08,2940,2360,736,4240,2780,2910,1250,3170,48000,47821.81818,58523.09091,47955.45455
AcCa(14:0),AcCa,(14:0),371.3036,4.2114,A,7.69,4660,1690,2270,5690,3520,4270,2980,3910,30181.81818,30003.63636,24363.09091,30137.27273
AcCa(14:0),AcCa,(14:0),371.3036,5.0793,A,7.69,13800,14600,16600,30400,8500,7190,8390,8680,9436.363636,9258.181818,15559.45455,9391.818182
AcCa(16:0),AcCa,(16:0),399.3349,3.7525,C,7.69,4.63,0.311,0.0244,3.4,4.31,5.08,8.13,0.0315,18.2,0.429405455,0.570309091,1.023407273
AcCa(16:0),AcCa,(16:0),399.3349,4,A,7.69,2030,3010,1820,3290,2400,2630,2580,3840,159636.3636,159458.1818,205559.4545,159591.8182
AcCa(16:0),AcCa,(16:0),399.3349,6.0977,C,7.69,32100,34900,47800,57300,49600,14700,23600,29500,59454.54545,59276.36364,83795.81818,59410
AcCa(16:0),AcCa,(16:0),399.3349,6.2682,B,38.46,80200,93700,123000,134000,66000,54100,57700,69600,78181.81818,78003.63636,132341.2727,78137.27273
AcCa(16:0),AcCa,(16:0),399.3349,6.3546,A,23.08,48100,58700,22500,66800,29600,27900,34000,50000,78181.81818,78003.63636,120341.2727,78137.27273
AcCa(18:0),AcCa,(18:0),427.3662,8.0766,C,7.69,26600,29500,45500,47900,51100,43800,30200,47500,42181.81818,42003.63636,77614,42137.27273
AcCa(18:0),AcCa,(18:0),427.3662,8.1553,A,15.38,26600,29500,45500,47900,51100,43800,30200,47500,42181.81818,42003.63636,77614,42137.27273
AcCa(18:1),AcCa,(18:1),425.3505,6.578,A,7.69,35700,29400,55600,96600,23800,19000,24000,25000,36363.63636,36185.45455,59777.63636,36319.09091
AcCa(18:2),AcCa,(18:2),423.3349,5.5508,A,15.38,14300,20200,31500,64200,14100,11700,23400,18400,19272.72727,19094.54545,28941.27273,19228.18182
AcCa(18:2),AcCa,(18:2),423.3349,5.6324,A,7.69,8330,5280,6030,15300,2870,4080,9690,7540,5054.545455,4876.363636,7214,5010
AcCa(2:0),AcCa,(2:0),203.1158,3.1392,A,30.77,20000,29500,35800,22500,56400,46700,85500,57400,79454.54545,79276.36364,110177.6364,79410
BisMePA(16:1_18:1),BisMePA,(16:1_18:1),700.5043,20.3574,C,7.69,333000,366000,379000,376000,1790000,934000,847000,1940000,1614545.455,1614367.273,3252704.909,1614500.909
BisMePA(16:1_18:1),BisMePA,(16:1_18:1),700.5043,20.5674,C,7.69,99900,103000,271000,20000,1090000,558000,622000,89700,652727.2727,652549.0909,1558159.455,652682.7273
BisMePA(18:1_18:2),BisMePA,(18:1_18:2),726.52,22.2458,C,7.69,4360,4790,459,9880,62100,64600,52600,130000,176000,175821.8182,355250.3636,175955.4545
BisMePA(18:2_16:0),BisMePA,(18:2_16:0),700.5043,20.4903,C,7.69,333000,366000,379000,376000,1790000,934000,768000,1940000,1347272.727,1347094.545,2632704.909,1347228.182
